stage,split,metric,p50,p75,p90,p95,p99,max
raw,train,article_char_len,2061.0,2402.5,2854.6000000000004,3042.0,3232.0,3580.0
raw,train,summary_char_len,458.0,540.0,611.0,645.0,694.0,792.0
raw,train,article_space_tokens,444.0,515.0,615.0,657.0,691.0,700.0
raw,train,summary_space_tokens,100.0,118.0,134.0,142.0,149.0,174.0
raw,train,compression_ratio_space,0.22565320665083136,0.2702702702702703,0.3124283667621777,0.3402651515151515,0.39114456289978683,0.4850498338870432
raw,valid,article_char_len,2085.0,2462.0,2904.2,3059.0,3252.08,3434.0
raw,valid,summary_char_len,460.0,536.0,611.2,643.5999999999999,695.0799999999999,785.0
raw,valid,article_space_tokens,450.0,533.0,628.4000000000001,663.5999999999999,693.0,700.0
raw,valid,summary_space_tokens,100.0,118.0,134.0,141.0,148.0,164.0
raw,valid,compression_ratio_space,0.2219178082191781,0.26342710997442453,0.30620404029716514,0.33131051814620444,0.3849473958786192,0.4866666666666667
clean,train,article_char_len,2061.0,2402.5,2853.6000000000004,3041.2999999999993,3232.0,3580.0
clean,train,summary_char_len,458.0,540.0,610.0,645.0,694.0,792.0
clean,train,article_space_tokens,444.0,515.0,615.0,657.0,691.0,700.0
clean,train,summary_space_tokens,100.0,118.0,134.0,142.0,149.0,174.0
clean,train,compression_ratio_space,0.22565320665083136,0.2702702702702703,0.3124283667621777,0.3402651515151515,0.39114456289978683,0.4850498338870432
clean,valid,article_char_len,2085.0,2462.0,2903.2,3058.2,3252.08,3434.0
clean,valid,summary_char_len,459.0,536.0,611.2,643.5999999999999,695.0799999999999,785.0
clean,valid,article_space_tokens,450.0,533.0,628.4000000000001,663.5999999999999,693.0,700.0
clean,valid,summary_space_tokens,100.0,118.0,134.0,141.0,148.0,164.0
clean,valid,compression_ratio_space,0.2219178082191781,0.26342710997442453,0.30620404029716514,0.33131051814620444,0.3849473958786192,0.4866666666666667
